state_id,players,nodes,feasible_assignments,pure_nash_equilibria,optimal_welfare,worst_nash_welfare,best_nash_welfare,exact_poa,relative_welfare_gap,ready_order_welfare,ready_order_is_pure_nash,ready_order_termination,ready_order_inner_stable,ready_order_inner_limit_hit,ready_order_oscillated,ready_order_inner_rounds,ready_order_assignment_moves,reference_welfare,reference_absolute_shortfall,reference_normalized_shortfall,reference_exact_hit,reference_runtime_ns,exact_enumeration_runtime_ns,potential_strict_improvements,potential_max_identity_residual
p06-s059,6,3,729,12,92.62504244863193,92.54122501734601,92.62504244863193,1.0009057307299554,0.0009049111241423277,92.5821871288419,True,stable,True,False,False,1,0,92.58360708232266,0.04143536630927258,0.0004473451802437968,False,1936400,41447500,4374,2.886579864025407e-15
p06-s060,6,3,729,1,100.12673392945182,99.42902401660092,99.42902401660092,1.0070171654579894,0.006968267968697505,99.42902401660092,True,stable,True,False,False,1,0,100.12673392945182,0.0,0.0,True,2071600,41878200,4374,3.1086244689504383e-15
p06-s061,6,3,729,6,107.68951620107607,107.64583459826882,107.68951620107607,1.0004057899961505,0.000405625397422091,107.68951620107607,True,stable,True,False,False,1,0,107.68951620107607,0.0,0.0,True,1794500,48285800,4374,3.3306690738754696e-15
p06-s062,6,3,729,34,96.09411166135469,94.99504727995368,95.4967036722198,1.0115697019252174,0.011437374906739555,95.15863345717338,True,stable,True,False,False,2,2,96.09411166135469,0.0,0.0,True,2248600,41577100,4374,2.6645352591003757e-15
p06-s063,6,3,729,1,92.55743124506189,92.21710309506409,92.21710309506409,1.0036905100960174,0.003676940310678288,92.21710309506409,True,stable,True,False,False,1,0,92.5574312450619,0.0,0.0,True,2124600,41461800,4374,2.6645352591003757e-15
p06-s064,6,3,729,4,105.56803587428465,105.40517457657893,105.50395419381186,1.001545097746481,0.001542714102398004,105.40517457657893,True,stable,True,False,False,1,0,105.56803587428465,0.0,0.0,True,2316500,43658200,4374,3.3306690738754696e-15
p06-s065,6,3,729,42,103.70291636903926,103.62423930185659,103.70291636903926,1.0007592535077965,0.000758677479258978,103.62815776912481,True,stable,True,False,False,1,0,103.6472300709047,0.055686298134560275,0.0005369790945550067,False,1738600,41839700,4374,2.6645352591003757e-15
p06-s066,6,3,729,1,96.73203493830925,96.70819688099965,96.70819688099965,1.0002464946930913,0.0002464339484309045,96.70819688099965,True,stable,True,False,False,1,0,96.73203493830925,0.0,0.0,True,1995300,42260100,4374,2.6645352591003757e-15
p06-s067,6,3,729,5,99.99635828337601,99.49367968689086,99.64961648529182,1.0050523671259028,0.005026969032818492,99.6496164852918,True,stable,True,False,False,1,0,99.99635828337601,0.0,0.0,True,2075900,41068200,4374,2.7755575615628914e-15
p06-s068,6,3,729,8,100.81383895081123,100.3071162368419,100.56106749599408,1.0050517125103355,0.005026320981750957,100.3071162368419,True,stable,True,False,False,1,0,100.71285701468604,0.10098193612519424,0.0010016674017786886,False,2115500,41799000,4374,3.1086244689504383e-15
